kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
529303,Benešov,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
532568,Bernartice,191,148,148,4,0,0,17,0,6,7,1,4,0,0,0,7,0,0,3,39,0,0,37,0,3,0,0,20,0
530743,Bílkovice,170,121,118,7,0,0,15,0,8,18,0,2,0,0,0,3,0,0,2,47,1,0,6,0,0,0,0,9,0
532380,Blažejovice,96,80,77,6,0,0,5,0,3,11,0,0,3,0,0,5,1,0,0,29,0,0,6,0,0,0,0,8,0
532096,Borovnice,73,54,53,2,0,0,2,0,4,4,1,0,1,0,0,3,0,0,1,29,0,0,5,0,0,0,0,1,0
532924,Bukovany,598,393,393,50,0,0,20,0,53,20,8,0,6,0,0,49,0,1,11,127,0,4,8,0,1,1,4,30,0
529451,Bystřice,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
532690,Ctiboř,106,83,83,3,0,0,5,0,4,4,2,0,1,0,0,11,0,0,2,35,0,0,11,0,0,0,0,5,0
529478,Čakov,93,71,71,7,0,0,6,0,8,3,0,0,2,0,0,6,0,0,8,15,0,0,6,0,0,0,0,10,0
529486,Čechtice,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
529516,Čerčany,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
529532,Červený Újezd,258,187,187,13,0,0,5,0,13,15,3,2,3,0,2,23,0,0,3,53,0,0,30,0,4,0,0,18,0
529541,Český Šternberk,129,82,82,9,0,0,3,0,6,3,1,0,1,0,0,6,0,0,8,25,0,0,3,0,0,0,0,17,0
529567,Čtyřkoly,539,403,400,72,0,0,20,1,43,15,1,2,11,2,0,46,0,0,39,91,0,1,11,0,4,0,0,38,3
532746,Děkanovice,49,40,40,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,13,0,0,11,0,0,0,0,8,0
529621,Divišov,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
529648,Dolní Kralovice,727,445,445,24,0,0,45,0,24,66,8,2,9,0,0,47,0,1,9,150,0,1,30,0,0,2,0,26,1
532151,Drahňovice,70,58,57,8,0,0,1,0,2,1,1,0,1,0,0,6,0,0,3,18,0,1,5,0,1,0,0,9,0
532843,Dunice,55,38,38,5,0,0,6,0,3,3,0,0,0,0,0,5,0,0,1,10,0,0,4,0,0,0,0,1,0
529702,Heřmaničky,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
532932,Hradiště,24,19,19,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,10,0,0,2,0,1,0,0,1,0
529737,Hulice,237,173,173,20,0,0,11,0,11,20,1,0,2,0,0,12,0,0,4,70,0,1,6,0,0,1,0,13,1
529745,Hvězdonice,257,189,189,23,1,0,6,0,13,14,1,4,1,1,0,32,0,0,12,49,0,0,0,0,1,0,0,31,0
532886,Chářovice,145,114,112,8,1,0,11,0,15,17,0,1,4,0,1,10,0,0,0,37,1,1,0,0,0,0,0,5,0
532878,Chleby,46,33,32,3,0,0,0,0,9,2,1,1,0,0,0,2,0,0,0,10,0,0,1,0,0,0,0,3,0
532045,Chlístov,278,177,176,29,0,0,5,0,18,5,5,0,2,0,0,32,0,0,7,62,0,0,3,0,2,0,1,5,0
529770,Chlum,112,87,87,5,0,0,3,0,5,6,0,0,0,0,0,4,0,0,0,51,0,0,6,0,0,0,1,6,0
529788,Chmelná,112,95,95,4,0,0,8,0,4,0,1,1,0,0,0,11,0,0,4,23,0,0,33,0,0,1,0,5,0
529796,Chocerady,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
532606,Choratice,58,34,34,5,0,0,2,0,4,1,0,1,0,0,0,0,0,0,3,10,0,0,6,0,0,0,0,2,0
529818,Chotýšany,434,294,292,27,0,0,29,0,31,16,1,5,6,1,0,35,0,1,5,91,0,0,7,0,1,1,2,33,0
532037,Chrášťany,187,123,123,20,0,0,1,0,9,14,1,1,0,1,0,20,0,0,4,40,0,0,9,0,0,0,0,3,0
529842,Jankov,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
529851,Javorník,104,79,79,3,0,0,11,0,7,5,2,1,0,0,0,9,0,0,0,20,0,0,6,0,2,0,0,13,0
532134,Ješetice,106,68,67,2,0,0,4,0,6,6,0,0,1,0,0,7,0,1,1,19,0,0,5,0,0,0,0,15,0
531031,Kamberk,121,82,81,17,0,0,5,0,2,1,0,0,2,0,0,9,0,0,6,28,0,0,1,0,2,0,0,8,0
529907,Keblov,155,99,99,10,0,0,10,0,8,10,0,1,1,0,0,6,0,0,2,34,0,1,3,0,2,0,0,11,0
533084,Kladruby,245,183,182,14,0,0,9,0,15,17,1,1,4,0,0,24,0,0,11,47,0,1,19,0,2,0,0,16,1
529931,Kondrac,383,272,267,28,2,0,35,0,29,24,1,6,1,0,1,28,0,0,5,66,0,0,19,0,0,0,0,22,0
529940,Kozmice,241,171,170,21,0,0,12,0,6,13,2,5,2,0,0,19,0,0,11,60,0,1,5,0,0,0,1,11,1
529958,Krhanice,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
529974,Krňany,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
529991,Křečovice,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530000,Křivsoudov,351,222,222,17,0,0,16,0,19,11,4,1,3,0,3,41,0,0,5,66,0,1,18,0,0,0,0,16,1
530026,Kuňovice,66,61,61,5,0,0,3,0,6,3,0,0,0,0,0,3,0,0,2,28,0,0,7,0,0,1,0,3,0
530051,Lešany,567,371,370,37,0,0,13,0,31,39,6,1,13,2,1,40,0,0,13,105,0,0,16,0,4,1,1,44,3
530069,Libež,156,107,107,5,2,0,10,0,3,15,0,0,2,0,0,3,0,0,0,42,0,0,8,0,1,1,0,15,0
532258,Litichovice,54,39,39,2,0,0,0,0,4,4,1,0,0,0,1,3,0,0,3,10,0,1,6,0,0,0,0,4,0
530093,Loket,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530107,Louňovice pod Blaníkem,563,369,365,43,2,0,32,0,25,25,4,1,0,0,0,35,1,0,14,138,0,1,20,0,1,0,0,23,0
532193,Lštění,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530115,Maršovice,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530158,Mezno,297,203,201,20,0,0,18,0,19,24,0,1,11,0,0,18,0,0,3,57,0,0,9,0,3,2,1,14,1
530166,Miličín,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530174,Miřetice,149,102,100,18,0,0,2,0,8,0,0,0,0,0,0,9,0,0,4,34,0,0,7,0,2,1,0,15,0
530191,Mnichovice,184,114,114,8,0,0,9,0,5,16,3,1,0,2,0,10,0,0,0,43,0,0,11,0,0,0,0,6,0
530204,Mrač,637,431,429,47,0,0,19,0,56,34,12,4,7,0,0,47,0,1,14,140,1,0,8,0,5,1,1,32,0
530212,Načeradec,881,512,509,42,1,0,28,1,42,52,2,1,6,1,1,51,0,0,14,182,0,1,34,0,2,2,3,43,0
530263,Nespeky,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530298,Netvořice,899,575,573,64,1,0,42,0,46,60,6,1,10,1,0,60,0,2,23,189,1,1,8,0,0,0,4,53,1
530301,Neustupov,423,264,263,5,0,0,26,0,24,21,3,4,11,0,0,15,2,0,11,98,0,0,9,0,2,1,0,31,0
530310,Neveklov,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530344,Olbramovice,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
599395,Ostrov,52,32,30,2,0,0,0,0,3,4,0,0,0,0,1,5,0,0,0,10,0,0,1,0,1,0,0,3,0
530352,Ostředek,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
533076,Pavlovice,168,121,119,4,2,0,13,0,6,15,2,4,2,0,0,6,0,0,4,37,0,1,10,0,0,0,0,13,0
530409,Petroupim,243,161,161,21,2,0,13,0,22,6,3,2,0,1,0,13,0,0,5,61,0,3,2,0,1,0,0,6,0
532649,Popovice,233,157,155,13,0,0,15,0,10,18,2,1,1,0,0,16,0,1,3,51,0,0,5,0,0,0,0,19,0
530441,Poříčí nad Sázavou,987,671,669,102,0,0,46,0,63,24,7,3,9,0,0,51,0,1,54,211,2,0,20,0,2,2,0,69,3
530450,Postupice,1030,662,653,68,0,0,30,2,70,42,7,3,4,0,0,76,0,2,17,255,0,0,20,0,10,1,2,41,3
530476,Pravonín,447,290,289,26,0,0,19,0,22,30,2,0,9,0,0,29,0,0,6,95,0,0,11,0,6,0,0,34,0
530492,Přestavlky u Čerčan,296,222,221,39,1,0,13,0,10,10,2,4,1,0,0,24,1,0,15,82,0,0,7,0,0,0,1,10,1
530514,Psáře,113,69,69,10,0,0,5,0,7,7,1,0,1,0,0,7,0,0,3,13,0,0,6,0,0,1,0,8,0
538680,Pyšely,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530522,Rabyně,235,168,168,38,1,0,9,0,11,11,0,2,1,0,0,19,0,0,9,41,0,0,8,0,0,0,0,15,3
530531,Radošovice,296,184,183,19,1,0,8,0,20,16,0,2,6,0,0,16,1,0,10,38,0,0,33,0,1,1,0,11,0
530549,Rataje,140,104,104,8,0,0,10,0,10,11,2,2,0,0,0,6,0,0,3,28,0,0,12,0,0,0,0,12,0
532550,Ratměřice,238,156,155,18,0,0,7,1,35,10,2,0,1,0,0,10,0,0,12,41,0,0,4,0,1,0,3,10,0
538710,Řehenice,366,252,252,34,0,0,15,0,26,8,2,4,2,0,0,48,1,1,20,69,0,0,4,0,1,0,0,17,0
532941,Řimovice,180,108,108,7,0,0,5,0,8,10,1,1,1,0,0,18,0,0,6,27,0,0,9,0,0,0,0,15,0
534382,Sázava,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
532231,Slověnice,31,22,22,3,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,8,0,0,2,0,0,0,0,4,0
530611,Smilkov,231,146,144,3,0,0,15,0,14,17,1,1,0,0,0,8,0,0,1,62,0,0,10,0,0,0,0,12,0
532436,Snět,89,64,64,11,0,0,3,0,2,1,0,0,0,0,0,11,0,0,1,21,0,0,8,0,0,0,0,6,0
530638,Soběhrdy,319,227,225,23,0,0,17,0,24,12,2,1,2,2,0,25,0,0,14,74,0,0,9,0,2,1,1,16,0
599387,Soutice,219,146,146,6,0,0,14,0,11,8,1,1,4,0,0,8,0,0,2,70,0,0,4,0,0,3,0,14,0
599379,Stranný,82,51,51,6,0,0,7,0,5,6,0,0,0,0,0,4,0,0,5,13,0,0,0,0,1,0,0,3,1
599361,Strojetice,103,77,76,1,0,0,8,0,7,10,1,2,1,0,0,8,0,0,4,23,0,1,3,0,1,0,0,6,0
530689,Struhařov,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530701,Střezimíř,263,174,174,12,0,0,5,0,17,12,1,2,6,0,0,16,0,0,1,76,0,0,7,1,0,0,0,18,0
530719,Studený,82,54,54,8,1,0,3,0,8,7,0,0,0,0,0,2,0,0,0,18,1,0,5,0,0,0,0,1,0
532509,Šetějovice,48,38,38,3,0,0,4,0,4,1,0,0,0,0,0,1,0,0,1,15,0,0,5,0,0,0,0,4,0
530751,Tehov,249,165,165,3,0,0,21,0,13,15,1,2,0,0,0,11,0,0,8,56,0,0,7,0,1,0,0,26,1
530760,Teplýšovice,383,289,288,22,0,0,25,0,41,17,6,2,3,0,0,26,0,1,4,96,0,1,24,0,3,0,0,17,0
530778,Tichonice,179,137,137,16,0,0,14,0,5,9,0,0,5,1,0,10,1,0,5,50,0,0,2,0,0,6,0,13,0
532592,Tisem,184,128,128,8,0,0,15,0,12,7,3,0,1,0,0,12,0,0,6,42,0,0,3,0,0,0,0,19,0
532541,Tomice,105,75,75,4,0,0,4,0,2,8,0,0,2,1,0,2,0,0,0,26,0,0,13,0,0,0,1,12,0
530816,Trhový Štěpánov,1029,643,634,62,0,1,42,0,48,40,5,7,6,0,0,59,0,0,25,217,0,2,45,0,6,1,2,66,0
532304,Třebešice,82,68,68,13,0,0,3,0,8,5,1,0,1,0,0,15,0,0,3,14,0,0,2,0,0,0,0,3,0
530841,Týnec nad Sázavou,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
532061,Václavice,455,290,289,30,0,0,27,0,41,12,0,1,13,0,0,32,0,1,5,85,0,1,10,0,4,1,2,21,3
530867,Veliš,270,189,189,9,0,0,9,0,16,15,0,2,1,0,1,6,0,0,8,71,0,1,23,0,0,2,0,25,0
530883,Vlašim,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
532614,Vodslivy,84,43,43,5,0,0,3,0,1,0,0,1,2,1,0,4,0,0,2,10,0,0,5,0,0,0,1,8,0
530891,Vojkov,427,250,249,21,1,1,23,1,15,23,2,1,1,0,0,27,0,0,7,90,1,0,14,2,3,0,0,16,0
530905,Votice,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
530913,Vracovice,326,201,199,14,1,0,14,0,15,9,0,3,6,0,0,22,0,0,10,67,3,0,22,0,0,1,0,12,0
530921,Vranov,332,244,244,29,0,0,11,0,26,21,2,1,3,1,1,28,0,1,14,80,1,0,14,0,0,0,0,11,0
530948,Vrchotovy Janovice,785,492,488,24,1,0,39,0,49,38,7,6,3,1,1,54,0,0,19,174,0,2,12,0,3,1,1,52,1
532266,Všechlapy,84,65,64,17,0,0,4,0,6,5,0,0,0,0,0,7,0,0,7,11,0,0,1,0,0,0,0,6,0
513482,Vysoký Újezd,163,113,113,20,0,0,11,0,1,12,3,5,4,1,0,3,0,0,8,30,0,0,2,0,8,0,1,4,0
571415,Xaverov,49,36,36,3,0,0,6,0,10,4,0,0,0,0,0,5,0,0,0,3,0,0,4,0,0,0,0,1,0
531022,Zdislavice,462,320,318,18,1,0,23,0,25,34,2,1,7,0,0,24,0,0,10,120,0,0,24,0,6,0,1,22,0
531049,Zvěstov,303,178,178,20,0,0,16,0,21,6,1,2,4,0,0,10,0,0,6,65,0,0,10,0,1,0,0,15,1
